JobTitle,job_role,Company,City,Column1,Province,remote?,Salary,Summary,experience?
Machine Learning Engineer,data scientist,Boast Capital,Montreal,, QC,NO,,"Fullstack development of AI features and applications in various areas of the Boast.
Identify appropriate models to be used and improve model accuracy for the…",no info
"Machine Learning Engineer (Canada, Remote)",data scientist,Diligen,Toronto,, ON,Remote,"$74,062 - $188,358 a year","Experience in machine learning techniques for reliable content extraction.
3+ years of professional or academic experience in machine learning.",experience required
Senior Machine Learning Engineer - InSight - OPS,data scientist,Iron Mountain,Remote,,Remote,Remote,,"The ML engineer works closely with multiple internal Iron Mountain teams to develop tech driven implementation solutions, create/enhance tools for performance…",no info
Jr. Machine Learning Engineer,data scientist,Niricson Software Inc.,Vancouver,, BC,NO,"$50,000 - $60,000 a year",2+ years of industry experience in ML modelling and engineering in applying deep learning in image or signal processing applications.,experience required
"Research Engineer, Vision",data engineer,Facebook,Montreal,, QC,NO,,"Experience developing machine learning algorithms or machine learning infrastructure in Python or C/C++.
Experience building systems based on machine learning …",experience required
Intern – Data Engineer,data engineer,Rio Tinto,Montreal,, QC,NO,,"Data Science and Data Engineering roles have diverse, multi-industry backgrounds and comprehensive skills in the fields of data modelling, engineering, and…",no info
Deep Learning Engineer,data scientist,NETINT Technologies Inc.,Burnaby,, BC,NO,,"Working with hardware/firmware team to integrate deep learning models into current workflow.
Familiar with a deep learning framework such as TensorFlow, PyTorch…",no info
Machine Learning Engineer,data scientist,Bio Conscious Technologies Inc,Vancouver,, BC,NO,"$70,000 - $119,802 a year","Experience in supervised and/or unsupervised machine learning.
As a Machine Learning Engineer, you will build and maintain the algorithm for Diabits, our…",experience required
Machine Learning Engineer,data scientist,Aviva,Montreal,, QC,NO,,"3+ years of applied experience in ML, deep learning and NLP.
Have expert understanding of machine learning and NLP tasks such as classification, feature…",experience required
Machine Learning Engineer (Intermediate),data scientist,Mosaic,Canada,,Remote,Remote,,"Staying on top of the latest machine learning trends, bringing knowledge around new key research areas into algorithm development.",no info
Senior Machine Learning Engineer,data scientist,Workday,Vancouver,, BC,NO,,"Experience in machine learning frameworks & toolkits such as Tensorflow, Pytorch, Sklearn.
5+ yrs experience as part of a data science, machine learning, or…",experience required
Machine Learning Engineer,data scientist,Jumio Corporation,Montreal,, QC,NO,,"Develop machine learning solutions to integrate in our products.
Balance building technically advanced solutions and swiftly shipping.",no info
Process Control Engineer - Entry Level,data engineer,Weyerhaeuser,Princeton,, BC,NO,,"Knowledge of modern machine safeguarding standards. e.g.: ISO13857.
This will be accomplished through hands-on learning, troubleshooting, involvement in process…",no info
MACHINE LEARNING ENGINEER,data scientist,PNI Digital Media,Vancouver,, BC,NO,,"Navigate between traditional software development and machine learning implementations.
5+ years' experience focusing on data science, or machine learning.",experience required
Machine Learning Engineer,data scientist,Thoughtexchange,Canada,,Remote,Remote,,"Deep understanding on machine learning, deep learning and natural language processing.
Create proof of concept of machine learning products and services using…",no info
Process Control Engineer - Entry Level,data engineer,Weyerhaeuser,Princeton,, BC,NO,,"Knowledge of modern machine safeguarding standards. e.g.: ISO13857.
This will be accomplished through hands-on learning, troubleshooting, involvement in process…",no info
MACHINE LEARNING ENGINEER,data scientist,PNI Digital Media,Vancouver,, BC,NO,,"Navigate between traditional software development and machine learning implementations.
5+ years' experience focusing on data science, or machine learning.",experience required
Machine Learning Engineer,data scientist,Thoughtexchange,Canada,,Remote,Remote,,"Deep understanding on machine learning, deep learning and natural language processing.
Create proof of concept of machine learning products and services using…",no info
Research Engineer – Robotics,data engineer,FPInnovations,Pointe-Claire,, QC,NO,,"Hold a licensed professional engineer certification (P.Eng.);
Knowledge of software development and tools such as ROS, Python, Matlab, OpenCV, machine learning…",no info
Machine Learning Engineer,data scientist,Aspect Biosystems,Vancouver,, BC,NO,,"As our Machine Learning Engineer, you will be a critical participant in planning the strategic direction and implementation of ML technology within Aspect’s…",no info
Learning Experience Designer,data scientist,AbCellera Biologics,Vancouver,, BC,NO,,"Previous experience with a learning management system or learning experience system.
Partnering with our (awesome!) scientists and technologists to co-develop…",experience required
Software Engineer - Machine Learning (Remote),data scientist,Yelp,Vancouver,, BC,Remote,,"Experience with machine learning using packages such as xgboost, sklearn, TensorFlow, etc.
Yelp’s machine learning engineers turn raw data into valuable signals…",experience required
"Machine Learning Engineer, Biometrics",data scientist,Jumio Corporation,Montreal,, QC,NO,,"Develop machine learning solutions to integrate in our products.
Passion for learning new things and bringing in new ideas.",no info
Machine Learning Engineer,data scientist,Motion Metrics International Corp.,Vancouver,, BC,NO,,"3+ years of hands-on experience in developing and implementing and evaluating machine learning models/algorithms.
Proficiency in Python and version control.",experience required
Data Scientist/Machine Learning Engineer,data scientist,Staffinity Inc.,North York,, ON,NO,"$80,000 - $120,000 a year","We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",no info
Learning Experience Designer,data scientist,AbCellera,Vancouver,, BC,NO,,"Previous experience with a learning management system or learning experience system.
Partnering with our (awesome!) scientists and technologists to co-develop…",experience required
Data Engineer Intern- Global Markets (5 openings- 8 month placements),data engineer,HSBC,Vancouver,, BC,NO,,"Global Banking and Markets (GBM) provides financial services and products to corporates, governments and institutions worldwide, building partnerships with them…",no info
Intermediate Machine Learning Engineer,data scientist,TELUS,Vancouver,, BC,NO,,The Wireless Service Analytics & Transformation (WSAT) team’s goal is to enable best-in-class wireless experience by developing a customer centric view of…,experience required
"Machine Learning Engineer - Modeler, Risk",data scientist,Square,Toronto,, ON,NO,,"Such machine learning techniques touch on reinforcement learning, decision theory, deep learning sequence modeling, and optimization theory.",no info
"Software Engineer, Machine Learning Platform",data scientist,"Grammarly, Inc.",Vancouver,, BC,NO,,"As a Software Engineer on the Mac Desktop Extension team, you will build a new complex and multifaceted product offering, which will offer you opportunities for…",no info
Mechanical Engineer - Microscope Team,data engineer,Zaber Technologies,Vancouver,, BC,NO,,Working with our production engineers and technicians to develop assembly and alignment methods and procedures for microscopes.,no info
"Software Engineer, Machine Learning Platform",data scientist,"Grammarly, Inc.",Vancouver,, BC,NO,,"As a Software Engineer on the Mac Desktop Extension team, you will build a new complex and multifaceted product offering, which will offer you opportunities for…",no info
Protein Engineer – Structural Immunology,data engineer,AbCellera Biologics,Vancouver,, BC,NO,,"At AbCellera, we’re solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
"Machine Learning Intern (ML-Agents), AI@Unity",data scientist,Unity Technologies,Vancouver,, BC,NO,,Enabling Unity developers to train character behaviors using machine learning techniques such as deep reinforcement learning and imitation learning.,no info
Machine Learning Engineer,data scientist,IMRSV Data Labs,Ottawa,, ON,NO,,"Research and experimentation on different machine learning algorithms.
Support developing state of the art machine learning algorithms.",no info
Protein Engineer – Structural Immunology,data engineer,AbCellera,Vancouver,, BC,NO,,"At AbCellera, we're solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Research Engineer – Robotics,data engineer,FPInnovations,Pointe-Claire,, QC,NO,,"Hold a licensed professional engineer certification (P.Eng.);
Knowledge of software development and tools such as ROS, Python, Matlab, OpenCV, machine learning…",no info
Machine Learning Engineer,data scientist,Unbounce,Vancouver,, BC,NO,,"An understanding of the performance and accuracy tradeoffs in machine learning.
5 or more years of experience working with machine learning and data engineering…",experience required
Machine Learning Engineer (Intermediate),data scientist,Mosaic,Canada,,Remote,Remote,,"Staying on top of the latest machine learning trends, bringing knowledge around new key research areas into algorithm development.",no info
Applied Scientist (Remote),data scientist,Yelp,Vancouver,, BC,Remote,,"Experience with predictive modeling/machine learning, forecasting, or causal inference.
Applied scientists uncover these insights through exploratory research…",experience required
Data Engineer - Visualization,data engineer,Extreme Networks,Montreal,, QC,NO,,Utilize a variety of distributed computing platforms and tools to build scalable ETL / machine learning pipelines to meet the team's objective.,no info
Computer Vision Engineer,data engineer,Faimdata,Montreal,, QC,NO,"$76,854 - $93,932 a year","Collaborate with hardware and backend engineers to meet requirements.
Deep learning frameworks such as PyTorch, Tensorflow, TensorRT, etc….",no info
Guest & Employee Experience Coordinator,others,AbCellera,Vancouver,, BC,NO,,"Monitoring and maintaining a high quality functional working environment by supporting day to day operations.
Ensuring colleague and visitor safety by verifying…",no info
Machine Learning Scientist - Sequence Space,data scientist,AbCellera Biologics,Vancouver,, BC,NO,,"Experience developing production grade machine learning models.
Optimize machine learning and data science pipelines with a focus on scalability.",experience required
Data Scientist/Machine Learning Engineer,data scientist,Staffinity Inc.,North York,, ON,NO,"$80,000 - $120,000 a year","We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",no info
Software Engineer (Machine Learning),data scientist,Microsoft,Vancouver,, BC,NO,,"Deploy machine learning solutions to improve Skype/Teams real-time collaboration quality and reliability.
Minimum of 1 years of experience in machine learning…",experience required
Data Engineer - Visualization,data engineer,Extreme Networks,Montreal,, QC,NO,,Utilize a variety of distributed computing platforms and tools to build scalable ETL / machine learning pipelines to meet the team's objective.,no info
"Associate Scientist, Machine Learning",data scientist,Zymeworks,Vancouver,, BC,NO,,"Work closely with protein engineers, drug developers and translational scientists to identify new opportunities, gather requirements, design and develop machine…",no info
Mechatronics Engineer,data engineer,AbCellera,Vancouver,, BC,NO,,"Familiarity with machine learning algorithms and tools.
Working collaboratively with life scientists, engineers, and software engineers in a cross-disciplinary…",no info
"Sr Data Engineer / Scientist (Fraud, AML)",data scientist,CryptoKitties,Vancouver,, BC,NO,,"You have 5+ years working experience in data science and or machine learning.
Research and develop how advanced data science techniques and machine learning can…",experience required
"Data Engineer, Intern",data engineer,Facebook,Vancouver,, BC,NO,,"Prior knowledge in applied analytics and operationalizing machine learning models is a plus.
Design and develop new systems in partnership with software…",no info
Machine Learning Engineer,data scientist,Opta Information Intelligence Corp.,Markham,, ON,NO,,"Implement a component-based strategy in constructing machine learning architecture.
5+ years of experience building and deploying machine learning models in…",experience required
Data Scientist/Machine Learning Engineer,data scientist,Staffinity Inc.,North York,, ON,NO,"$80,000 - $120,000 a year","We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",no info
"VP, Machine Learning",data scientist,Paytm,Toronto,, ON,NO,,"Ability to explain and present analyses and machine learning concepts to a broad technical audience.
You will collaborate with highly innovative engineering…",no info
Mechatronics Engineer,data engineer,AbCellera Biologics,Vancouver,, BC,NO,,"Familiarity with machine learning algorithms and tools.
Working collaboratively with life scientists, engineers, and software engineers in a cross-disciplinary…",no info
"Software Engineer, AI Machine Learning - Remote",data scientist,Change Healthcare,Richmond,, BC,Remote,,"The Software engineer will also contribute to the development of the AI data pipeline, in particular the expansion of Change Healthcare image annotation…",no info
Software Engineer - Machine Learning,data scientist,Workday,Vancouver,, BC,NO,,"Interest in or experience with machine learning methodologies and tools (e.g. pandas, sklearn, keras, tensorflow, etc.).",experience required
DevSecOps Engineer,data engineer,Cisco Systems,Vancouver,, BC,NO,,"We use the cloud to deliver simplified security policy management and dynamic threat intelligence.
With Cisco Cloud Security, customers gain complete visibility…",no info
Senior Machine Learning Engineer,data scientist,realtor.com,Vancouver,, BC,NO,,"Research, build and deploy machine learning and deep learning algorithms.
Mentor the team on data exploration, machine learning, deep learning and developing…",no info
Programmer (Associate) - UI,software developer,Blackbird Interactive,Vancouver,, BC,NO,,"Interact with other engineers to improve the whole technical team and process.
Jump wholeheartedly into learning new technologies and systems and leverage them…",no info
Spark Platform Engineer,data engineer,Yelp,Vancouver,, BC,NO,,Come work with and learn from our passionate and diverse team of engineers with years of experience spanning machine learning modeling to systems engineering.,experience required
Mechatronics Engineer,data engineer,Nexe Innovations,Surrey,, BC,NO,,"Minimum 3+ years' experience as a mechatronics engineer.
Designing, building and validating automated assembly equipment, production test benches and other…",experience required
Machine Learning Engineer,data scientist,Electronic Arts,Vancouver,, BC,NO,,"3+ years of applied ML experience in statistical and mathematical modeling such as supervised and unsupervised machine learning, deep learning, and/or…",experience required
Laboratory Assistant,others,AbCellera,Vancouver,, BC,NO,,"At AbCellera, we're solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Customer Engineer,data engineer,Microsoft,Vancouver,, BC,NO,,"In this role you will be working with customers and partners building, deploying, operating and optimizing large complex enterprise environments.",no info
Senior Machine Learning Developer,data scientist,Unity Technologies,Vancouver,, BC,NO,,Lead junior machine learning engineers with technical decisions to deploy models to the cloud and integrate them with new or existing services.,no info
Data Engineer,data engineer,Intact,Montreal,, QC,NO,,"Our team is using modern concepts, tools and technologies for data ingestion, acquisition and data consumption and work with Agile framework.",no info
Machine Learning-Full-Time Summer- Internship,data scientist,Prepr,Toronto,, ON,NO,,"Nice to Have: Career interest in machine learning and artificial intelligence.
About the Job: The successful applicant will explore machine learning tools and…",no info
Back End Developer,software developer,Olive Technologies,Vancouver,, BC,NO,"$65,000 - $70,000 a year","You have an interest in machine learning and making sense of complex datasets.
Be a key member of our product development team, working with engineers,…",no info
UX Researcher,others,Retail Zipline,Remote,,Remote,Remote,,You have the ability to clearly communicate the learnings of research insights to various levels and teams within a company.,no info
Senior Machine Learning Engineer,data scientist,realtor.com,Vancouver,, BC,NO,,"Research, build and deploy machine learning and deep learning algorithms.
Mentor the team on data exploration, machine learning, deep learning and developing…",no info
Data Pipeline Engineer,data engineer,Parallel Domain,Vancouver,, BC,NO,,"In this role, you will be responsible for helping to build the pipeline powering Parallel Domain's data generation platform.",no info
Machine Learning Engineer - MIP,data scientist,Wavo,Montreal,, QC,NO,,"Collaborate with a diverse team of data scientists, data engineers and software engineers to develop new machine learning models for the music industry.",no info
Machine Learning Engineer,data scientist,Opta Information Intelligence Corp.,Markham,, ON,NO,,"Implement a component-based strategy in constructing machine learning architecture.
5+ years of experience building and deploying machine learning models in…",experience required
Back-End Engineer,data engineer,Klue,Vancouver,, BC,NO,,"You love coding, wrangling data and solving big problems (the kind 85M companies have).
Intermediate experience with general purpose programming languages (we…",experience required
Data Engineer,data engineer,Intact,Montreal,, QC,NO,,"Our team is using modern concepts, tools and technologies for data ingestion, acquisition and data consumption and work with Agile framework.",no info
Senior Machine Learning Engineer,data scientist,MedChart Inc.,Toronto,, ON,NO,,"Build Medchart’s machine learning pipeline.
Effectively translate requirements into feasible machine learning solutions.
Hands-on experience with medical data.",experience required
"Sr Data Engineer / Scientist (Fraud, AML)",data scientist,CryptoKitties,Vancouver,, BC,NO,,"You have 5+ years working experience in data science and or machine learning.
Research and develop how advanced data science techniques and machine learning can…",experience required
Information Designer,others,AbCellera,Vancouver,, BC,NO,,You have a full toolkit of 2D and 3D visual wizardry up your sleeve and you thrive in experimenting with creative solutions with ego-free flexibility.,no info
Data Pipeline Engineer,data engineer,Parallel Domain,Vancouver,, BC,NO,,"In this role, you will be responsible for helping to build the pipeline powering Parallel Domain's data generation platform.",no info
Lead Machine Learning Engineer,data scientist,Patriot One Technologies,Vancouver,, BC,NO,,Lead other machine learning engineers and data scientists with technical decisions to deploy models to product and integrate them with new or existing services.,no info
Back End Developer,software developer,Olive Technologies,Vancouver,, BC,NO,"$65,000 - $70,000 a year","You have an interest in machine learning and making sense of complex datasets.
Be a key member of our product development team, working with engineers,…",no info
Procedural Engineer,data engineer,Parallel Domain,Vancouver,, BC,NO,,"Experience working with synthetic data for machine learning purposes.
In this role, you will be responsible for designing, implementing, and maintaining…",experience required
"Research Engineer, Core ML",data engineer,Facebook,Montreal,, QC,NO,,"Experience developing machine learning algorithms or machine learning infrastructure in Python or C/C++.
Experience building systems based on machine learning …",experience required
PLC Programmer - Job 19110,software developer,Angstrom Engineering Inc.,Kitchener,, ON,NO,,The candidate will be responsible for all aspects of programming for the Angstrom Engineering systems including machine start up and testing.,no info
Project Coordinator,others,AbCellera Biologics,Vancouver,, BC,NO,,"Coordinating day-to-day activities through all stages of the project lifecycle including formation of the project team, project planning, project documentation,…",no info
Senior Protein Engineer – Biochemistry – Structural Modeling,data engineer,AbCellera Biologics,Vancouver,, BC,NO,,Familiarity with Python data analysis (Numpy/Pandas/Dask) and modern machine learning (PyTorch/Keras/Tensorflow) stack is preferred.,no info
Machine Learning Engineer/Data Scientist,data scientist,IDES CANADA INC,Whitchurch-Stouffville,, ON,NO,"$50,000 - $80,000 a year","2+ years experience working with machine learning algorithms using large scale data processing tools.
Able to extract data on your own and prepare a large data…",experience required
"GRADERS, Winter 2021, Electrical & Computer Engineering",data engineer,McGill University,Montreal,, QC,NO,,"These courses may be required to be taught in part or entirely in person or in part or entirely remotely using a virtual learning platform [e.g., Zoom, WebEx]…",no info
5G RAN Applications Engineer,data engineer,Dell Technologies,Toronto,, ON,NO,,"From applied research to advanced engineering, Dell’s 5G R&D team will design and develop ground-breaking products & solutions, as a first-ever go-to-market for…",no info
Project Coordinator,others,AbCellera Biologics,Vancouver,, BC,NO,,"Coordinating day-to-day activities through all stages of the project lifecycle including formation of the project team, project planning, project documentation,…",no info
Senior Protein Engineer – Biochemistry – Structural Modeling,data engineer,AbCellera Biologics,Vancouver,, BC,NO,,Familiarity with Python data analysis (Numpy/Pandas/Dask) and modern machine learning (PyTorch/Keras/Tensorflow) stack is preferred.,no info
"GRADERS, Winter 2021, Electrical & Computer Engineering",data engineer,McGill University,Montreal,, QC,NO,,"These courses may be required to be taught in part or entirely in person or in part or entirely remotely using a virtual learning platform [e.g., Zoom, WebEx]…",no info
5G RAN Applications Engineer,data engineer,Dell Technologies,Toronto,, ON,NO,,"From applied research to advanced engineering, Dell’s 5G R&D team will design and develop ground-breaking products & solutions, as a first-ever go-to-market for…",no info
Ingénieur en développement logiciel/ Software Development Engineer,data engineer,Microsoft,Montreal,, QC,NO,,"Background in machine learning/deep learning (strongly preferred).
You will work closely with applied scientists and engineers who have a plethora of expertise…",no info
Laboratory Assistant,others,AbCellera,Vancouver,, BC,NO,,"At AbCellera, we're solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Machine Learning-Full-Time Summer- Internship,data scientist,Prepr,Toronto,, ON,NO,,"Nice to Have: Career interest in machine learning and artificial intelligence.
About the Job: The successful applicant will explore machine learning tools and…",no info
Deep Learning Engineer,data scientist,Deeplite Inc,Montreal,, QC,NO,,"Experience building systems based on machine learning and/or deep learning.
Strong working knowledge of deep learning, and experience utilizing theoretical and…",experience required
Business Intelligence Engineer,data engineer,"AMZN CAN Fulfillment Svcs, ULC",Vancouver,, BC,NO,,"Experience applying machine learning, statistical modeling or related analytic techniques.
Collaborating with software development teams to implement analytics…",experience required
Senior Statistical/Actuarial Analyst,business/data analyst,Aviva,Montreal,, QC,NO,,You will work on the proposal of innovative machine-learning and statistical models for practical applications that impact millions of customers.,no info
Data Scientist/Machine Learning Engineer,data scientist,Staffinity Inc.,North York,, ON,NO,"$80,000 - $120,000 a year","We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",no info
"Research Intern, Multi-Modal 3D Registration and Segmentation (PhD)",others,Facebook,Vancouver,, BC,NO,,"Develop automatic mesh/point-cloud processing and analysis algorithms using computer-vision, machine-learning and/or deep-learning.",no info
"Machine Learning Engineer, Content Signals",data scientist,Pinterest,Toronto,, ON,NO,,Apply machine learning approaches to build rich signals that enable ranking and product engineers to build deeper experiences to further engage Pinners.,experience required
Systems Design Engineer,data engineer,ATS Automation Tooling Systems Inc.,Cambridge,, ON,NO,,"Conduct root-cause analysis to drive machine performance improvements during machine integration.
Responsible for learning a customer process and becoming the…",no info
"Machine Learning Modeler, Human Outreach Recommendations",data scientist,Square,Toronto,, ON,NO,,"Collaborate with engineers, analysts, data scientists and other Machine Learning Engineers to train, deploy, and test machine learning models using state-of-the…",no info
Senior Machine Learning Engineer,data scientist,Autodesk,Toronto,, ON,NO,,"Collaborate with product and research engineers to develop and test machine learning models.
Keep up with the latest in computer vision and machine learning…",no info
Accounts Payable Specialist,software developer,AbCellera,Vancouver,, BC,NO,,"At AbCellera, we're solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Business Intelligence Engineer,data engineer,"AMZN CAN Fulfillment Svcs, ULC",Vancouver,, BC,NO,,"Experience applying machine learning, statistical modeling or related analytic techniques.
Collaborating with software development teams to implement analytics…",experience required
Co-op Student Engineer (PEY Program),data engineer,Magna International Inc.,Brampton,, ON,NO,,"Theoretical knowledge of product/machine design techniques, practical experience is a benefit.
This 12 month Co-op position will work together as part of our…",experience required
Shipping and Receiving Coordinator,others,AbCellera,Vancouver,, BC,NO,,"At AbCellera, we're solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Data Pipeline Engineer,data engineer,Parallel Domain,Vancouver,, BC,NO,,"In this role, you will be responsible for helping to build the pipeline powering Parallel Domain's data generation platform.",no info
Procedural Engineer,data engineer,Parallel Domain,Vancouver,, BC,NO,,"Experience working with synthetic data for machine learning purposes.
In this role, you will be responsible for designing, implementing, and maintaining…",experience required
GEOLOGIST / GEOPHYSICIST / MINE ENGINEER,data engineer,MineSense Technologies,Vancouver,, BC,NO,,"The ideal candidate will have a strong interest in detailed data analysis and statistics.
In-mine grade control experience is preferred, but not essential.",experience required
Data Engineer,data engineer,LGM Financial Services Inc.,Vancouver,, BC,NO,,"LGM’s Strategic Plan includes goals around creating a great workplace, delivering service excellence, profitable growth, and social responsibility.",no info
Machine Learning Geoscientist,data scientist,DATACLOUD,Vancouver,, BC,NO,,"Run machine learning tests and experiments.
Design machine learning systems that can automatically recognize features, extract features, and create volume…",no info
Information Designer,others,AbCellera Biologics,Vancouver,, BC,NO,,You have a full toolkit of 2D and 3D visual wizardry up your sleeve and you thrive in experimenting with creative solutions with ego-free flexibility.,no info
Data Scientist/Machine Learning Engineer,data scientist,Staffinity Inc.,North York,, ON,NO,"$80,000 - $120,000 a year","We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",no info
Research Scientist - Functional Assays,data scientist,AbCellera,Vancouver,, BC,NO,,"At AbCellera, we're solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Data Engineer - Machine Learning,data scientist,Prenuvo Inc,Vancouver,, BC,NO,,"2+ years experience as a software or data engineer at an enterprise software/analytics company.
The data engineer establishes and maintains scalable, reliable,…",experience required
Assembly Technician,others,Spirax Sarco,Canada,,Remote,Remote,,"Prepares work to be accomplished by studying assembly instructions, blueprint specifications, and parts lists; gathering parts, sub-assemblies, tools, and…",no info
Software Engineer I,data engineer,Expedia Group,Montreal,, QC,NO,,"Multiple machine learning projects to optimize content acquisition, deduplication and metadata extraction.
Localisation de contenu dans plus de 40 langues pour…",no info
Senior Machine Learning Developer,data scientist,Unity Technologies,Vancouver,, BC,NO,,Lead junior machine learning engineers with technical decisions to deploy models to the cloud and integrate them with new or existing services.,no info
Systems Design Engineer,data engineer,ATS Automation Tooling Systems Inc.,Cambridge,, ON,NO,,"Conduct root-cause analysis to drive machine performance improvements during machine integration.
Responsible for learning a customer process and becoming the…",no info
Spark Platform Engineer,data engineer,Yelp,Vancouver,, BC,NO,,Come work with and learn from our passionate and diverse team of engineers with years of experience spanning machine learning modeling to systems engineering.,experience required
Accounts Payable Specialist,software developer,AbCellera Biologics,Vancouver,, BC,NO,,"At AbCellera, we’re solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Buyer,others,AbCellera Biologics,Vancouver,, BC,NO,,"Working closely with your colleagues on the Procurement team, you will be primarily responsible for the execution of purchasing processes.",no info
"Programmer, Computer Vision Developer, Microscopy",software developer,Aparicio Lab,Vancouver,, BC,NO,,"Special consideration will be given to those in research areas that involve computer vision or machine learning.
Machine learning techniques and platforms.",no info
Senior Protein Engineer – Biochemistry – Library Development,data engineer,AbCellera Biologics,Vancouver,, BC,NO,,"At AbCellera, we’re solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Senior DevOps Engineer,data engineer,Amplitude,Vancouver,, BC,NO,,"Experience managing and automating large AWS deployments (1000+ machines).
You will work on our deployment, automation, and monitoring systems.",experience required
Project Coordinator,others,AbCellera Biologics,Vancouver,, BC,NO,,"Coordinating day-to-day activities through all stages of the project lifecycle including formation of the project team, project planning, project documentation,…",no info
Design Solution Engineer Intern,data engineer,Intel,Toronto,, ON,NO,,"Explore new ways to improve design workflows and efficiencies though machine learning, workflow automations etc.
As an Intern, this role is focused on:",no info
Data Engineer - Sports Security,data engineer,Electronic Arts,Vancouver,, BC,NO,,"Some familiarity with machine learning, and statistical approaches to data analysis.
You will work with Data Scientists to gather data pipeline requirements to…",no info
Intermediate Machine Learning Engineer,data scientist,Technology Smart Inc,Winnipeg,, MB,NO,"$73,760 - $87,000 a year","Practical experience in machine learning development.
Build tools and pipelines to improve our machine learning deployments and systems.",experience required
5G RAN Applications Engineer,data engineer,Dell Technologies,Toronto,, ON,NO,,"From applied research to advanced engineering, Dell’s 5G R&D team will design and develop ground-breaking products & solutions, as a first-ever go-to-market for…",no info
Devops (H/F),others,Plogg / Bestar,Montreal,, QC,NO,,"Expand the solution by using machine learning in the future.
Work with cutting edge Google Cloud tools.
Implement a flawless CI/CD process.",no info
Front End Engineer,data engineer,DATACLOUD,Vancouver,, BC,NO,,Contribute to additional areas of the stack as the role requires frequent collaboration with engineers such as our backend teams building tools from the…,no info
Corporate Development Associate,others,AbCellera Biologics,Vancouver,, BC,NO,,"Reporting into the Senior Manager, Corporate Development, you will take an active role in assessing new strategic opportunities and partnerships and conducting…",no info
"Machine Learning Modeler, Human Outreach Recommendations",data scientist,Square,Toronto,, ON,NO,,"Collaborate with engineers, analysts, data scientists and other Machine Learning Engineers to train, deploy, and test machine learning models using state-of-the…",no info
Back End Developer,software developer,Olive Technologies,Vancouver,, BC,NO,"$65,000 - $70,000 a year","You have an interest in machine learning and making sense of complex datasets.
Be a key member of our product development team, working with engineers,…",no info
Senior Statistical/Actuarial Analyst,business/data analyst,Aviva,Montreal,, QC,NO,,You will work on the proposal of innovative machine-learning and statistical models for practical applications that impact millions of customers.,no info
LabVIEW Developer,software developer,AbCellera Biologics,Vancouver,, BC,NO,,"You will be joining a multi-disciplinary team of engineers, with expertise in software engineering, instrument/hardware design, microfabrication, biomedical…",no info
Research Scientist - Functional Assays,data scientist,AbCellera Biologics,Vancouver,, BC,NO,,"At AbCellera, we’re solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Internal Communications Specialist,software developer,AbCellera Biologics,Vancouver,, BC,NO,,"Developing and executing on innovative and robust internal communication strategies to support AbCellera's people and culture, including employee intranet and…",no info
Senior Protein Engineer – Biochemistry – Structural Modeling,data engineer,AbCellera,Vancouver,, BC,NO,,Familiarity with Python data analysis (Numpy/Pandas/Dask) and modern machine learning (PyTorch/Keras/Tensorflow) stack is preferred.,no info
Software Engineer - New Grad 2021 (Remote - Canada),data engineer,Quora,Vancouver,, BC,Remote,,Our engineers focus on creating polished products and writing high quality code by designing APIs and abstractions that are extensible and maintainable.,no info
Assembly Technician,others,Spirax Sarco,Canada,,Remote,Remote,,"Prepares work to be accomplished by studying assembly instructions, blueprint specifications, and parts lists; gathering parts, sub-assemblies, tools, and…",no info
"Research Intern, Audio-Visual Learning (PhD)",data scientist,Facebook,Vancouver,, BC,NO,,"We are developing all the technologies needed to enable breakthrough in telepresence, including computer vision, audio, graphics, eye/hand/face/body tracking,…",no info
UX Researcher,others,Retail Zipline,Remote,,Remote,Remote,,You have the ability to clearly communicate the learnings of research insights to various levels and teams within a company.,no info
